,name,coordinates,Bed,Bath,parking,price,closestTrain,closestTram,closeTrainKM
https://www.domain.com.au/3605-439-collins-street-melbourne-vic-3000-16203733,3605/439 Collins Street Melbourne VIC 3000,[-37.8176878 144.9597256],4,3,2,4500.0,POINT (144.96696993215096 -37.81829185075921),POINT (144.95943512337078 -37.81759381033591),2
https://www.domain.com.au/5401-308-exhibition-street-melbourne-vic-3000-16169678,5401/308 Exhibition Street Melbourne VIC 3000,[-37.8085173 144.9696285],3,2,4,3750.0,POINT (144.97291711643737 -37.81104082118253),POINT (144.96903307818343 -37.80808981021469),2
https://www.domain.com.au/4904-63-latrobe-st-melbourne-vic-3000-16527718,4904/63 Latrobe St Melbourne VIC 3000,[-37.8082025 144.9693999],3,3,2,2900.0,POINT (144.97291711643737 -37.81104082118253),POINT (144.96903307818343 -37.80808981021469),2
https://www.domain.com.au/6703-500-elizabeth-street-melbourne-vic-3000-16326099,6703/500 Elizabeth Street Melbourne VIC 3000,[-37.8072623 144.9602708],3,3,1,2800.0,POINT (144.96259988493512 -37.809925809549725),POINT (144.95985487968525 -37.806876879394764),2
https://www.domain.com.au/4802-316-318-queen-street-melbourne-vic-3000-16461958,4802/316-318 Queen Street Melbourne VIC 3000,[-37.8112667 144.9592612],3,3,2,2500.0,POINT (144.9556597971247 -37.81196781995968),POINT (144.95912804232498 -37.81099185978902),2
https://www.domain.com.au/1201-543-elizabeth-street-melbourne-vic-3000-16641915,1201/543 Elizabeth Street Melbourne VIC 3000,[-37.8054298 144.9586458],4,4,2,2500.0,POINT (144.96259988493512 -37.809925809549725),POINT (144.9595798394716 -37.80654783938512),2
https://www.domain.com.au/3007-35-spring-street-melbourne-vic-3000-16626386,3007/35 Spring Street Melbourne VIC 3000,[-37.8141725 144.9740049],3,2,2,2300.0,POINT (144.97291711643737 -37.81104082118253),POINT (144.9732907973558 -37.81354381123154),2
https://www.domain.com.au/3002-50-lorimer-street-melbourne-vic-3000-16428387,3002/50 Lorimer Street Melbourne VIC 3000,[-37.8245639 144.9475364],3,3,2,220000.0,POINT (144.9514168232869 -37.81792285015357),POINT (144.9475068636939 -37.8217118497713),3
https://www.domain.com.au/1707-151-berkeley-street-melbourne-vic-3000-16572882,1707/151 Berkeley Street Melbourne VIC 3000,[-37.8022049 144.9582151],2,2,1,2000.0,POINT (144.96259988493512 -37.809925809549725),POINT (144.957668959583 -37.80213486921014),3
https://www.domain.com.au/1301-17-spring-street-melbourne-vic-3000-16521436,1301/17 Spring Street Melbourne VIC 3000,[-37.8147493 144.9744021],3,2,2,1850.0,POINT (144.97291711643737 -37.81104082118253),POINT (144.9746181147463 -37.81530583140675),3
